FIPS,State,County,Year,N,P
1001,Alabama,Autauga,2012,"708,047","221,834"
1003,Alabama,Baldwin,2012,"977,918","294,492"
1005,Alabama,Barbour,2012,"2,449,789","696,151"
1007,Alabama,Bibb,2012,"281,611","90,300"
1009,Alabama,Blount,2012,"5,371,970","1,512,507"
1011,Alabama,Bullock,2012,"794,617","254,153"
1013,Alabama,Butler,2012,"2,019,046","579,082"
1015,Alabama,Calhoun,2012,"1,661,233","503,940"
1017,Alabama,Chambers,2012,"811,136","251,319"
1019,Alabama,Cherokee,2012,"2,106,469","586,012"
1021,Alabama,Chilton,2012,"680,200","163,118"
1023,Alabama,Choctaw,2012,"207,353","49,556"
1025,Alabama,Clarke,2012,"216,267","66,273"
1027,Alabama,Clay,2012,"2,141,474","588,278"
1029,Alabama,Cleburne,2012,"2,020,546","580,337"
1031,Alabama,Coffee,2012,"4,978,523","1,431,221"
1033,Alabama,Colbert,2012,"1,853,117","484,916"
1035,Alabama,Conecuh,2012,"490,886","117,915"
1037,Alabama,Coosa,2012,"162,577","38,871"
1039,Alabama,Covington,2012,"3,058,088","866,315"
1041,Alabama,Crenshaw,2012,"4,140,070","1,273,757"
1043,Alabama,Cullman,2012,"9,418,078","2,957,833"
1045,Alabama,Dale,2012,"2,439,156","749,016"
1047,Alabama,Dallas,2012,"1,017,588","324,890"
1049,Alabama,DeKalb,2012,"11,022,430","3,533,512"
1051,Alabama,Elmore,2012,"510,981","162,601"
1053,Alabama,Escambia,2012,"609,570","188,102"
1055,Alabama,Etowah,2012,"2,501,137","765,685"
1057,Alabama,Fayette,2012,"780,167","225,711"
1059,Alabama,Franklin,2012,"3,564,892","1,106,254"
1061,Alabama,Geneva,2012,"4,177,965","1,270,275"
1063,Alabama,Greene,2012,"490,544","158,583"
1065,Alabama,Hale,2012,"1,226,700","397,774"
1067,Alabama,Henry,2012,"1,250,837","386,222"
1069,Alabama,Houston,2012,"992,555","318,483"
1071,Alabama,Jackson,2012,"3,285,684","884,112"
1073,Alabama,Jefferson,2012,"317,881","97,221"
1075,Alabama,Lamar,2012,"468,002","118,145"
1077,Alabama,Lauderdale,2012,"1,923,139","602,429"
1079,Alabama,Lawrence,2012,"4,780,714","1,459,216"
1081,Alabama,Lee,2012,"305,790","71,401"
1083,Alabama,Limestone,2012,"2,238,508","697,985"
1085,Alabama,Lowndes,2012,"2,931,452","897,989"
1087,Alabama,Macon,2012,"393,546","93,951"
1089,Alabama,Madison,2012,"1,144,591","354,716"
1091,Alabama,Marengo,2012,"1,145,894","277,057"
1093,Alabama,Marion,2012,"2,628,133","792,221"
1095,Alabama,Marshall,2012,"6,425,238","2,006,968"
1097,Alabama,Mobile,2012,"933,221","223,288"
1099,Alabama,Monroe,2012,"677,786","162,968"
1101,Alabama,Montgomery,2012,"3,669,844","920,834"
