FIPS,State,County,Year,N,P
1001,Alabama,Autauga,2007,"591,805","184,285"
1003,Alabama,Baldwin,2007,"1,276,145","302,977"
1005,Alabama,Barbour,2007,"2,071,180","651,259"
1007,Alabama,Bibb,2007,"265,686","63,473"
1009,Alabama,Blount,2007,"5,856,962","1,664,557"
1011,Alabama,Bullock,2007,"708,951","221,129"
1013,Alabama,Butler,2007,"2,309,545","660,058"
1015,Alabama,Calhoun,2007,"1,601,174","433,753"
1017,Alabama,Chambers,2007,"748,059","180,415"
1019,Alabama,Cherokee,2007,"1,452,420","401,579"
1021,Alabama,Chilton,2007,"698,585","215,941"
1023,Alabama,Choctaw,2007,"450,711","138,445"
1025,Alabama,Clarke,2007,"320,580","76,406"
1027,Alabama,Clay,2007,"1,534,210","471,816"
1029,Alabama,Cleburne,2007,"1,792,074","511,574"
1031,Alabama,Coffee,2007,"4,749,777","1,357,662"
1033,Alabama,Colbert,2007,"1,464,071","387,185"
1035,Alabama,Conecuh,2007,"570,680","182,152"
1037,Alabama,Coosa,2007,"198,873","61,800"
1039,Alabama,Covington,2007,"2,980,433","922,665"
1041,Alabama,Crenshaw,2007,"4,029,988","1,236,889"
1043,Alabama,Cullman,2007,"12,124,175","3,753,748"
1045,Alabama,Dale,2007,"2,508,482","713,309"
1047,Alabama,Dallas,2007,"1,090,266","262,392"
1049,Alabama,DeKalb,2007,"11,527,532","3,428,540"
1051,Alabama,Elmore,2007,"646,100","199,973"
1053,Alabama,Escambia,2007,"498,260","151,458"
1055,Alabama,Etowah,2007,"2,246,561","680,150"
1057,Alabama,Fayette,2007,"619,388","179,075"
1059,Alabama,Franklin,2007,"4,273,006","1,311,121"
1061,Alabama,Geneva,2007,"4,397,594","1,238,724"
1063,Alabama,Greene,2007,"716,629","173,847"
1065,Alabama,Hale,2007,"1,057,274","329,574"
1067,Alabama,Henry,2007,"1,306,106","403,021"
1069,Alabama,Houston,2007,"1,459,256","359,799"
1071,Alabama,Jackson,2007,"3,546,303","980,028"
1073,Alabama,Jefferson,2007,"252,740","70,951"
1075,Alabama,Lamar,2007,"354,962","84,377"
1077,Alabama,Lauderdale,2007,"1,968,570","613,791"
1079,Alabama,Lawrence,2007,"3,941,754","1,208,905"
1081,Alabama,Lee,2007,"403,398","93,543"
1083,Alabama,Limestone,2007,"1,837,145","479,186"
1085,Alabama,Lowndes,2007,"2,484,083","757,288"
1087,Alabama,Macon,2007,"450,464","107,438"
1089,Alabama,Madison,2007,"1,075,876","325,369"
1091,Alabama,Marengo,2007,"1,092,052","264,483"
1093,Alabama,Marion,2007,"2,463,670","751,153"
1095,Alabama,Marshall,2007,"6,954,800","2,146,195"
1097,Alabama,Mobile,2007,"1,028,121","303,640"
1099,Alabama,Monroe,2007,"655,251","158,223"
1101,Alabama,Montgomery,2007,"2,435,515","601,517"
1103,Alabama,Morgan,2007,"3,199,110","964,835"
1105,Alabama,Perry,2007,"781,354","188,468"
1107,Alabama,Pickens,2007,"3,039,993","920,391"
1109,Alabama,Pike,2007,"3,426,324","967,961"
1111,Alabama,Randolph,2007,"2,534,983","733,770"
1113,Alabama,Russell,2007,"363,110","85,640"
1115,Alabama,St. Clair,2007,"1,849,772","515,289"
1117,Alabama,Shelby,2007,"385,434","87,612"
1119,Alabama,Sumter,2007,"1,036,184","341,467"
1121,Alabama,Talladega,2007,"1,014,836","253,027"
1123,Alabama,Tallapoosa,2007,"443,794","137,990"
1125,Alabama,Tuscaloosa,2007,"1,003,100","266,443"
1127,Alabama,Walker,2007,"1,539,390","459,242"
1129,Alabama,Washington,2007,"1,018,256","328,872"
1131,Alabama,Wilcox,2007,"702,822","220,486"
1133,Alabama,Winston,2007,"2,070,657","584,080"
4001,Arizona,Apache,2007,"2,770,066","720,941"
4003,Arizona,Cochise,2007,"3,143,861","756,429"
4005,Arizona,Coconino,2007,"3,289,737","756,375"
4007,Arizona,Gila,2007,"468,385","136,229"
4009,Arizona,Graham,2007,"570,178","181,069"
4011,Arizona,Greenlee,2007,"561,346","134,164"
4012,Arizona,La Paz,2007,"362,452","86,457"
4013,Arizona,Maricopa,2007,"10,341,678","1,924,383"
4015,Arizona,Mohave,2007,"293,480","68,455"
4017,Arizona,Navajo,2007,"1,729,943","376,813"
4019,Arizona,Pima,2007,"1,294,704","301,247"
4021,Arizona,Pinal,2007,"17,282,287","3,961,950"
4023,Arizona,Santa Cruz,2007,"830,707","198,448"
4025,Arizona,Yavapai,2007,"2,797,298","664,639"
4027,Arizona,Yuma,2007,"72,624","20,720"
5001,Arkansas,Arkansas,2007,"105,906","32,960"
5003,Arkansas,Ashley,2007,"211,471","63,628"
5005,Arkansas,Baxter,2007,"1,070,644","328,283"
5007,Arkansas,Benton,2007,"13,577,253","4,223,567"
5009,Arkansas,Boone,2007,"5,133,799","1,614,742"
5011,Arkansas,Bradley,2007,"881,408","285,541"
5013,Arkansas,Calhoun,2007,"87,151","26,170"
5015,Arkansas,Carroll,2007,"8,311,074","2,680,276"
5017,Arkansas,Chicot,2007,"174,372","54,521"
5019,Arkansas,Clark,2007,"976,498","261,782"
5021,Arkansas,Clay,2007,"392,348","121,243"
5023,Arkansas,Cleburne,2007,"2,623,723","711,452"
5025,Arkansas,Cleveland,2007,"3,461,000","1,038,848"
5027,Arkansas,Columbia,2007,"1,589,647","447,162"
5029,Arkansas,Conway,2007,"5,187,010","1,584,481"
5031,Arkansas,Craighead,2007,"534,011","151,185"
5033,Arkansas,Crawford,2007,"2,316,300","618,184"
5035,Arkansas,Crittenden,2007,"47,281","13,978"
5037,Arkansas,Cross,2007,"89,094","26,463"
5039,Arkansas,Dallas,2007,"124,428","38,918"
5041,Arkansas,Desha,2007,"111,684","34,974"
5043,Arkansas,Drew,2007,"753,106","238,077"
5045,Arkansas,Faulkner,2007,"1,914,118","580,646"
5047,Arkansas,Franklin,2007,"3,967,514","1,250,529"
5049,Arkansas,Fulton,2007,"2,312,464","677,685"
5051,Arkansas,Garland,2007,"441,037","138,203"
5053,Arkansas,Grant,2007,"1,058,615","300,624"
5055,Arkansas,Greene,2007,"377,919","115,099"
5057,Arkansas,Hempstead,2007,"6,957,826","1,910,472"
5059,Arkansas,Hot Spring,2007,"1,073,832","293,324"
5061,Arkansas,Howard,2007,"6,464,776","2,024,268"
5063,Arkansas,Independence,2007,"4,093,270","1,066,504"
5065,Arkansas,Izard,2007,"2,007,471","618,920"
5067,Arkansas,Jackson,2007,"494,074","153,551"
5069,Arkansas,Jefferson,2007,"688,628","205,774"
5071,Arkansas,Johnson,2007,"3,780,125","1,195,288"
5073,Arkansas,Lafayette,2007,"2,601,003","790,618"
5075,Arkansas,Lawrence,2007,"1,456,113","453,677"
5077,Arkansas,Lee,2007,"81,001","26,861"
5079,Arkansas,Lincoln,2007,"3,303,740","966,654"
5081,Arkansas,Little River,2007,"2,758,013","852,088"
5083,Arkansas,Logan,2007,"5,624,128","1,759,494"
5085,Arkansas,Lonoke,2007,"1,007,850","294,890"
5087,Arkansas,Madison,2007,"6,513,090","2,067,610"
5089,Arkansas,Marion,2007,"1,578,585","518,342"
5091,Arkansas,Miller,2007,"1,833,016","479,332"
5093,Arkansas,Mississippi,2007,"86,567","26,069"
5095,Arkansas,Monroe,2007,"38,607","12,493"
5097,Arkansas,Montgomery,2007,"1,986,033","582,966"
5099,Arkansas,Nevada,2007,"1,913,664","605,418"
5101,Arkansas,Newton,2007,"1,244,606","318,297"
5103,Arkansas,Ouachita,2007,"776,421","223,340"
5105,Arkansas,Perry,2007,"1,343,311","420,719"
5107,Arkansas,Phillips,2007,"167,766","52,757"
5109,Arkansas,Pike,2007,"3,296,452","1,041,868"
5111,Arkansas,Poinsett,2007,"104,371","31,919"
5113,Arkansas,Polk,2007,"5,152,664","1,446,983"
5115,Arkansas,Pope,2007,"5,167,504","1,463,767"
5117,Arkansas,Prairie,2007,"283,877","89,220"
5119,Arkansas,Pulaski,2007,"677,924","168,136"
5121,Arkansas,Randolph,2007,"2,040,458","508,431"
5123,Arkansas,St. Francis,2007,"101,839","30,879"
5125,Arkansas,Saline,2007,"407,416","121,047"
5127,Arkansas,Scott,2007,"3,348,272","1,048,849"
5129,Arkansas,Searcy,2007,"1,429,126","449,652"
5131,Arkansas,Sebastian,2007,"2,818,974","866,698"
5133,Arkansas,Sevier,2007,"5,192,361","1,478,926"
5135,Arkansas,Sharp,2007,"2,854,961","784,386"
5137,Arkansas,Stone,2007,"2,443,977","634,943"
