FIPS,State,County,Year,N,P
5037,Arkansas,Cross,2002,"189,192","54,767"
5039,Arkansas,Dallas,2002,"155,458","37,616"
5041,Arkansas,Desha,2002,"124,626","30,331"
5043,Arkansas,Drew,2002,"678,166","182,604"
5045,Arkansas,Faulkner,2002,"2,248,283","676,295"
5047,Arkansas,Franklin,2002,"4,077,379","1,287,222"
5049,Arkansas,Fulton,2002,"2,367,308","720,512"
5051,Arkansas,Garland,2002,"518,092","133,597"
5053,Arkansas,Grant,2002,"569,948","169,929"
5055,Arkansas,Greene,2002,"500,155","118,503"
5057,Arkansas,Hempstead,2002,"7,777,435","2,185,315"
5059,Arkansas,Hot Spring,2002,"944,910","301,848"
5061,Arkansas,Howard,2002,"5,722,323","1,814,058"
5063,Arkansas,Independence,2002,"3,638,921","1,126,687"
5065,Arkansas,Izard,2002,"2,110,638","647,689"
5067,Arkansas,Jackson,2002,"197,956","61,285"
5069,Arkansas,Jefferson,2002,"399,655","107,991"
5071,Arkansas,Johnson,2002,"4,005,458","1,272,488"
5073,Arkansas,Lafayette,2002,"3,033,695","842,314"
5075,Arkansas,Lawrence,2002,"1,592,224","484,130"
5077,Arkansas,Lee,2002,"121,167","38,424"
5079,Arkansas,Lincoln,2002,"1,547,230","447,533"
5081,Arkansas,Little River,2002,"2,378,747","741,273"
5083,Arkansas,Logan,2002,"5,935,490","1,829,336"
5085,Arkansas,Lonoke,2002,"824,835","238,776"
5087,Arkansas,Madison,2002,"6,266,099","1,992,035"
5089,Arkansas,Marion,2002,"1,657,731","527,959"
5091,Arkansas,Miller,2002,"2,129,518","560,528"
5093,Arkansas,Mississippi,2002,"44,266","12,888"
5095,Arkansas,Monroe,2002,"69,442","23,608"
5097,Arkansas,Montgomery,2002,"2,349,745","683,528"
5099,Arkansas,Nevada,2002,"1,731,591","544,437"
5101,Arkansas,Newton,2002,"1,225,150","304,662"
5103,Arkansas,Ouachita,2002,"448,265","133,922"
5105,Arkansas,Perry,2002,"1,675,363","465,418"
5107,Arkansas,Phillips,2002,"72,551","22,851"
5109,Arkansas,Pike,2002,"2,130,791","625,583"
5111,Arkansas,Poinsett,2002,"145,093","43,978"
5113,Arkansas,Polk,2002,"4,044,976","1,115,428"
5115,Arkansas,Pope,2002,"4,829,873","1,367,255"
5117,Arkansas,Prairie,2002,"283,414","68,191"
5119,Arkansas,Pulaski,2002,"496,917","149,751"
5121,Arkansas,Randolph,2002,"2,070,812","640,698"
5123,Arkansas,Saint Francis,2002,"147,125","34,940"
5125,Arkansas,Saline,2002,"540,419","160,805"
5127,Arkansas,Scott,2002,"4,015,491","1,251,711"
5129,Arkansas,Searcy,2002,"1,623,348","501,041"
5131,Arkansas,Sebastian,2002,"2,479,360","762,216"
5133,Arkansas,Sevier,2002,"4,247,948","1,329,114"
5135,Arkansas,Sharp,2002,"2,830,966","773,784"
5137,Arkansas,Stone,2002,"2,528,226","770,424"
5139,Arkansas,Union,2002,"1,830,475","546,827"
5141,Arkansas,Van Buren,2002,"1,461,635","463,835"
5143,Arkansas,Washington,2002,"14,312,971","4,610,820"
