FIPS,State,County,N_1982,N_1987,N_1992,N_1997,P_1982,P_1987,P_1992,P_1997
39121,Ohio,Noble,790422.318,641905.3635,654665.797,684994.4325,232308.9186,189036.7442,199320.0698,210129.965
39123,Ohio,Ottawa,160710.945,166274.84,144401.0825,107707.7375,44307.7115,48307.562,44214.06,34839.315
39125,Ohio,Paulding,366522.635,346858.91,329407.125,213439.755,111502.052,117319.16,105999.795,73054.095
39127,Ohio,Perry,765167.502,709346.8855,664793.452,648322.6785,220094.1338,207336.2382,197891.5693,188541.7539
39129,Ohio,Pickaway,1357006.823,1052171.046,993475.01,840529.801,444944.014,352425.6869,345547.838,287643.8074
39131,Ohio,Pike,511986.311,589808.045,536416.4725,449784.795,151440.3019,178492.083,157863.8225,124772.607
39133,Ohio,Portage,980889.9005,822727.9725,702857.9375,606124.639,234437.909,196058.3895,161241.5215,135736.9197
39135,Ohio,Preble,1672084.521,1738871.303,1472072.542,1415504.307,544593.5525,579874.8772,495325.3651,472744.8341
39137,Ohio,Putnam,1629870.573,1644329.879,1589167.133,1397541.135,583015.1767,601492.2319,591837.528,507681.125
39139,Ohio,Richland,1522965.444,1323311.866,1347844.875,1380219.55,400459.303,353932.553,353732.046,338311.881
39141,Ohio,Ross,1480635.913,1238284.165,1246532.602,1015723.422,464550.974,387475.2688,391512.1732,308674.4452
39143,Ohio,Sandusky,710358.76,577277.4275,500414.1025,513334.1475,201716.7012,168928.0645,155757.1835,152604.553
39145,Ohio,Scioto,657862.985,583527.969,585496.677,556783.38,186736.7832,168599.5171,169694.3723,163994.4565
39147,Ohio,Seneca,1207611.472,1200270.093,1059231.163,913909.4525,372937.6715,379961.799,356317.487,308864.011
39149,Ohio,Shelby,2133469.615,1861002.97,1566268.515,1500645.31,569059.0855,504740.7965,437216.872,405532.071
39151,Ohio,Stark,1950570.022,1977280.099,1966301.589,1905635.196,447415.888,453435.9134,457257.2173,455372.955
39153,Ohio,Summit,148128.0655,131895.674,124531.6475,113854.515,37894.4532,32183.3986,32218.223,27941.118
39155,Ohio,Trumbull,1081499.899,1163567.816,939950.878,726431.127,236091.0091,246092.7983,207223.8041,162963.4948
39157,Ohio,Tuscarawas,1929763.451,2122265.253,2016239.145,2048157.675,456718.1855,513250.565,475419.0705,488418.7425
39159,Ohio,Union,1317833.358,1043278.659,926513.3305,985056.395,369350.917,291568.3533,264806.9226,310579.1145
39161,Ohio,Van Wert,655785.79,645971.4675,496227.9725,336618.9075,213621.406,223547.9535,172618.639,115909.115
39163,Ohio,Vinton,289288.045,240788.6175,236868.845,213217.8435,84337.422,73760.8145,75191.45,65990.1145
39165,Ohio,Warren,926366.2625,794901.858,758562.539,532468.636,274904.101,232006.419,222220.8974,155658.6965
39167,Ohio,Washington,1393073.267,1250197.805,1278804.659,1298707.307,379998.0797,346854.5504,370786.2906,366300.8326
39169,Ohio,Wayne,5705064.28,5967684.725,5513549.94,5459829.903,1319409.777,1438405.702,1296899.786,1282958.796
39171,Ohio,Williams,1342024.958,1047155.473,862956.2375,734360.232,443913.8205,333646.9257,278556.8085,224912.3943
39173,Ohio,Wood,602647.708,454060.2655,434119.24,344392.695,198720.6497,146912.1422,139559.021,106510.509
39175,Ohio,Wyandot,641129.78,660046.9625,638893.615,668396.9725,211825.896,224783.15,218828.7695,238222.7685
40001,Oklahoma,Adair,4661900.114,4384515.462,5267189.378,4117096.313,1453796.573,1385927.458,1627249.005,1260678.978
40003,Oklahoma,Alfalfa,2961105.289,3706364.733,3997569.693,4070267.133,877430.0491,1023313.769,1186724.459,1201170.885
40005,Oklahoma,Atoka,3486384.512,2483387.172,2691698.878,2755013.643,1079569.184,780843.2133,835297.996,870224.757
40007,Oklahoma,Beaver,3547327.538,3634539.175,3745507.705,5236110.408,1088448.621,1083244.896,1083099.197,1603422.288
40009,Oklahoma,Beckham,2013137.865,1920792.643,2100105.763,2517232.434,616334.4743,586859.0823,644111.843,777493.2996
40011,Oklahoma,Blaine,2900152.089,3742838.071,3475166.603,3957414.198,865240.2339,1128463.304,1069632.187,1177795.435
40013,Oklahoma,Bryan,3708093.816,3718152.887,3759440.102,4233831.954,1149634.808,1143480.874,1163056.754,1306443.159
40015,Oklahoma,Caddo,5094495.214,4812475.462,4805254.732,6133508.57,1577879.242,1461972.357,1501860.51,1919058.109
40017,Oklahoma,Canadian,3637623.986,3779644.845,4104474.356,4199149.528,1073103.333,1102910.43,1241653.455,1280520.96
40019,Oklahoma,Carter,2677839.872,2739624.712,2451367.054,2793984.521,815855.7992,842828.6314,767142.5742,877186.2569
40021,Oklahoma,Cherokee,2877926.595,2512863.789,2117156.693,2741138.076,851215.0665,758394.4398,630403.5748,841471.6032
40023,Oklahoma,Choctaw,3675843.522,3121927.564,3040566.26,3124386.497,1144764.888,964834.4964,939615.6723,981717.8214
40025,Oklahoma,Cimarron,3361670.784,3673948.293,4655534.359,5534604.26,986726.7285,1021278.259,1358246.225,1544464.302
40027,Oklahoma,Cleveland,1495613.401,1138655.522,1248531.608,1438880.763,429245.0703,329131.8169,369483.0057,436687.7369
40029,Oklahoma,Coal,2303718.612,2257866.47,2036839.986,2233765.555,718618.9225,678045.8865,622775.9528,667174.6171
40031,Oklahoma,Comanche,2709549.829,2385263.093,2392510.988,2926422.041,785516.1911,687826.2965,695076.409,859555.438
40033,Oklahoma,Cotton,2002173.342,1945974.468,1766428.264,2844507.26,623591.0001,587291.922,548792.0096,879674.942
40035,Oklahoma,Craig,4118341.415,3584648.861,4231592.419,4813077.045,1231270.039,1085288.043,1275133.864,1460883.193
40037,Oklahoma,Creek,2112863.44,1599698.035,1900985.027,2258869.943,651553.931,482244.3323,580995.4656,687163.5762
40039,Oklahoma,Custer,2717673.862,3404540.259,3516014.943,4164574.365,833447.3364,1021803.47,1069012.682,1249198.587
40041,Oklahoma,Delaware,4311362.708,4906555.592,5224261.273,5712735.477,1346475.314,1544734.092,1648944.33,1822766.019
40043,Oklahoma,Dewey,2307159.485,2599629.078,2747771.843,2744839.28,709054.7972,803494.2208,845382.422,846690.881
40045,Oklahoma,Ellis,2492148.89,3131961.89,2403466.172,2877288.292,743926.6396,941778.6031,717611.0431,850736.6876
40047,Oklahoma,Garfield,3512791.257,3715545.865,4053418.605,4071174.476,1048605.611,1032925.284,1182786.837,1175177.791
40049,Oklahoma,Garvin,3466150.305,3035630.498,3035367.463,3447229.495,1062582.919,924622.6453,940473.5235,1067818.714
40051,Oklahoma,Grady,5131557.107,4840584.999,5304722.285,6365377.809,1445324.255,1326795.49,1449700.67,1713508.604
40053,Oklahoma,Grant,2550197.572,2647191.188,2299598.805,2223161.598,756308.9283,746382.2105,681432.393,653975.091
40055,Oklahoma,Greer,1114731.185,1053887.978,1341709.095,1342282.65,347964.03,329381.2135,339534.4525,416023.216
40057,Oklahoma,Harmon,992234.9425,1069692.977,1193065.77,1280109.758,302068.717,320496.9426,315330.3425,333717.33
40059,Oklahoma,Harper,3177015.873,3181623.918,3613013.84,3674419.008,959672.517,898863.56,1095204.575,1053244.198
40061,Oklahoma,Haskell,2739539.786,2436294.656,2672776.624,3471331.847,855161.5524,755087.0294,836704.6509,1102075.363
40063,Oklahoma,Hughes,2341129.509,2058759.833,2119222.89,3556326.33,723572.5041,639955.1507,663015.8055,1282824.628
40065,Oklahoma,Jackson,1219691.521,2062199.455,1686142.735,2280296.453,373770.9716,613445.519,502064.3615,675324.5
40067,Oklahoma,Jefferson,3137978.188,3061221.033,2783801.808,3861761.55,968733.8892,930826.663,839240.2267,977053.54
40069,Oklahoma,Johnston,2554495.57,2440115.131,2723237.281,2082918.949,783021.2848,775754.1489,893777.3658,649097.0385
40071,Oklahoma,Kay,2441813.53,2264425.175,2270234.724,1898689.54,728367.2525,679834.9213,661212.7766,568118.2796
40073,Oklahoma,Kingfisher,3344728.428,3826853.828,3676687.552,4285183.96,1002536.294,1093364.013,1105438.608,1287446.943
40075,Oklahoma,Kiowa,2318357.905,2435103.997,2290457.568,3377136.977,703994.1935,743231.1516,697591.224,1046609.852
40077,Oklahoma,Latimer,1333693.697,1339658.847,1522427.156,1687423.834,414713.1436,415326.9246,472535.9586,521732.2836
40079,Oklahoma,Le Flore,3985206.967,4807677.764,5321977.827,7420004.857,1224692.317,1466442.945,1632062.313,2301703.591
40081,Oklahoma,Lincoln,3116225.085,2544184.977,2823403.533,3211789.71,895090.0242,750721.1338,850319.1743,969378.1201
